Set,Name,Theme,Year,Parts,Store,Cost,Discount
75299-1,Trouble on Tatooine,Star Wars,2021,276,"eBay US(eBay, US)","CFA8,365Avg: CFA21,369",61%
40413-1,Mini Robots,Mindstorms,2020,366,"1brick4all(BrickOwl, IT)","CFA5,904Avg: CFA15,013",61%
40374-1,Golden Zane Minifigure Accessory Set,Ninjago,2020,73,"Amazon US(Amazon, US)","CFA4,835Avg: CFA11,997",60%
75810-1,The Upside Down,Stranger Things,2019,2287,"OdioDiVico -20% OFF(BrickLink, IT)","CFA52,522Avg: CFA130,313",60%
30327-1,My First Duck,Duplo,2019,6,"Brick Takeover(BrickOwl, DE)","CFA1,599Avg: CFA3,906",59%
77906-1,Wonder Woman,Super Heroes DC,2020,255,"Amazon US(Amazon, US)","CFA24,770Avg: CFA60,313",59%
41453-1,Party Time,Unikitty!,2018,214,"eBay US(eBay, US)","CFA6,422Avg: CFA15,599",59%
40084-1,Hero Factory Weapon Pack,Hero Factory,2013,6,"Rares and Spares(BrickOwl, BE)","CFA590Avg: CFA1,419",58%
11001-1,Bricks and Ideas,Classic,2019,123,"Beachfront(BrickLink, US)","CFA2,693Avg: CFA6,474",58%
76075-1,Wonder Woman Warrior Battle,Super Heroes DC,2017,286,"NewTown_Brickworks(BrickOwl, US)","CFA12,412Avg: CFA29,710",58%
42056-1,Porsche 911 GT3 RS,Technic,2016,2704,"eBay IT(eBay, IT)","CFA91,834Avg: CFA219,795",58%
5001121-1,BR LEGO Minifigure,Collectible Minifigures,2013,5,"The Brickening(BrickOwl, DK)","CFA2,054Avg: CFA4,899",58%
80016-1,The Flaming Foundry,Monkie Kid,2020,1427,"Amazon US(Amazon, US)","CFA37,771Avg: CFA90,055",58%
891842-1,Kai,Ninjago,2018,14,"Brick Takeover(BrickOwl, DE)","CFA1,082Avg: CFA2,575",58%
911949-1,Millennium Falcon,Star Wars,2019,32,"Badeloch's Bricks(BrickOwl, NL)","CFA1,804Avg: CFA4,276",58%
76099-1,Rhino Face-Off by the Mine,Super Heroes Marvel,2018,229,"A brick per day e.U.(BrickOwl, AT)","CFA6,829Avg: CFA16,087",58%
76085-1,Battle of Atlantis,Super Heroes DC,2017,198,"eBay US(eBay, US)","CFA5,931Avg: CFA13,869",57%
88014-1,Technic XL Motor,Technic,2020,1,"Amazon US(Amazon, US)","CFA10,777Avg: CFA24,917",57%
5005250-1,Party Banana Juice Bar,Collectible Minifigures,2018,5,"Bricksbythepound(BrickOwl, US)","CFA3,238Avg: CFA7,420",56%
80013-1,Monkie Kid's Team Secret HQ,Monkie Kid,2020,1965,"Amazon US(Amazon, US)","CFA47,339List: CFA53,960Avg: CFA123,454",56%
8398-1,BBQ Stand,Town,2009,22,"Badeloch's Bricks(BrickOwl, NL)","CFA5,904Avg: CFA13,463",56%
40138-1,Christmas Train,Seasonal,2015,233,"mklpmn(BrickOwl, NL)","CFA11,774 Avg: CFA26,695",56%
70418-1,J.B's Ghost Lab,Hidden Side,2019,174,"eBay US(eBay, US)","CFA5,397Avg: CFA12,225",56%
88012-1,Technic Hub,Technic,2020,1,"M&MBricks(BrickLink, NL)","CFA19,689Avg: CFA44,572",56%
45019-1,Creative LEGO DUPLO Brick Set,Educational and Dacta,2016,160,"eBay US(eBay, US)","CFA26,978Avg: CFA60,747",56%
71018-1,Professional Surfer,Collectible Minifigures,2017,6,"The Brickening(BrickOwl, DK)","CFA2,048Avg: CFA4,609",56%
71741-1,NINJAGO City Gardens,Ninjago,2021,5709,"Blocks & Bricks 50 OFF(BrickOwl, PL)","CFA94,577Avg: CFA212,542",56%
76101-1,Outrider Dropship Attack,Super Heroes Marvel,2018,127,"Brick Door (BrickOwl, US)","CFA5,127Avg: CFA11,518",55%
76064-1,Mighty Micros: Spider-Man vs. Green Goblin,Super Heroes Marvel,2016,85,"Brick Door(BrickOwl, US)","CFA2,698Avg: CFA6,041",55%
76053-1,Gotham City Cycle Chase,Super Heroes DC,2016,224,"eBay US(eBay, US)","CFA8,089Avg: CFA18,003",55%
10196-1,Grand Carousel,Creator,2009,3261,"The Brick Curator(BrickLink, US)","CFA782,505Avg: CFA1,729,772",55%
76071-1,Mighty Micros: Spider-Man vs. Scorpion,Super Heroes Marvel,2017,79,"Brick Door(BrickOwl, US)","CFA2,428Avg: CFA5,367",55%
7235-1,"Police Motorcycle, Black Logo",Town,2005,29,"Set Shop Boy(BrickOwl, DE)","CFA8,495Avg: CFA18,565",54%
10276-1,Colosseum,Creator,2020,9036,"eBay IT(eBay, IT)","CFA163,333Avg: CFA356,741",54%
70823-1,Emmet's Thricycle!,The LEGO Movie,2019,174,"eBay US(eBay, US)","CFA4,301Avg: CFA9,370",54%
30385-1,Super Mushroom Surprise Expansion Set,Super Mario,2020,18,"Steinchenwelt(BrickOwl, DE)","CFA2,270Avg: CFA4,937",54%
75033-1,Star Destroyer,Star Wars,2014,97,"PRO_BRO_BRICKS(BrickOwl, RU)","CFA4,368Avg: CFA9,501",54%
271719-1,Stone Giants' Gun,Nexo Knights,2017,33,"WayTooManyBricks(BrickOwl, GB)","CFA572Avg: CFA1,229",53%
40165-1,Minifigure Wedding Favor Set,LEGO Brand Store,2016,91,"bricktoys4boys(BrickOwl, US)","CFA4,857Avg: CFA10,357",53%
75119-1,Sergeant Jyn Erso,Star Wars,2016,104,"Bizzy Blox(BrickOwl, US)","CFA4,857Avg: CFA10,352",53%
892059-1,Kai,Ninjago,2020,6,"Stellar Bricks(BrickOwl, ES)","CFA1,955Avg: CFA4,165",53%
271723-1,Hovercraft,Nexo Knights,2017,35,"Badeloch's Bricks(BrickOwl, NL)","CFA656Avg: CFA1,394",53%
71004-1,Calamity Drone,Collectible Minifigures,2014,7,"Brick Takeover(BrickOwl, DE)","CFA4,049Avg: CFA8,596",53%
60244-1,Police Helicopter Transport,Town,2020,317,"eBay US(eBay, US)","CFA12,925Avg: CFA27,033",52%
30320-1,Gallimimus Trap,Jurassic World,2015,29,"Personal Bricks(BrickOwl, MY)","CFA10,686Avg: CFA22,351",52%
10753-1,The Joker Batcave Attack,Juniors,2018,151,"eBay US(eBay, US)","CFA8,095Avg: CFA16,882",52%
70921-1,Harley Quinn Cannonball Attack,Super Heroes DC,2018,425,"BrickALeg(BrickOwl, MY)","CFA13,491Avg: CFA28,055",52%
30556-1,Mini Frame,DOTS,2020,85,"brickshop.germany(BrickOwl, DE)","CFA1,633Avg: CFA3,386",52%
30556-1,Mini Frame,DOTS,2020,85,"Steinchenwelt(BrickOwl, DE)","CFA1,633Avg: CFA3,386",52%
71220-1,Gimli Fun Pack,Dimensions,2015,56,"Fan de Lego(BrickOwl, FR)","CFA3,280Avg: CFA6,773",52%
30556-1,Mini Frame,DOTS,2020,85,"Badeloch's Bricks(BrickOwl, NL)","CFA1,640Avg: CFA3,386",52%
30624-1,Obi-Wan Kenobi - Collectible Minifigure,Star Wars,2019,12,"Whit’s Bricks(BrickOwl, US)","CFA4,312Avg: CFA8,895",52%
