Set,Name,Theme,Year,Parts,Store,Cost,Discount
41258-1,Vibe City Concert,Trolls: World Tour,2020,503,"eBay US(eBay, US)","CFA31,840Avg: CFA37,538",15%
71360-1,Adventures with Mario Starter Course,Super Mario,2020,233,"eBay US(eBay, US)","CFA29,681Avg: CFA34,992",15%
76175-1,Attack on the Spider Lair,Super Heroes Marvel,2021,0,"Steinchenwelt(BrickOwl, DE)","CFA43,490Avg: CFA51,270",15%
60285-1,Sports Car,Town,2021,89,"Steinchenwelt(BrickOwl, DE)","CFA4,992Avg: CFA5,885",15%
60291-1,Family House,Town,2021,388,"Mattoncini Prato(BrickLink, IT)","CFA26,907Avg: CFA31,714",15%
60304-1,Road Plates,Town,2021,112,"Steinchenwelt(BrickOwl, DE)","CFA9,938Avg: CFA11,710",15%
40348-1,Birthday Clown,Brickheadz,2019,150,"Brick Takeover(BrickOwl, DE)","CFA8,842Avg: CFA10,418",15%
40423-1,Halloween Hayride,Seasonal,2020,148,"eBay US(eBay, US)","CFA9,708Avg: CFA11,439",15%
4000026-1,Tree of Creativity,LEGO Brand Store,2018,840,"Bricks Space(BrickOwl, IT)","CFA91,178Avg: CFA107,425",15%
70663-1,Spinjitzu Nya & Wu,Ninjago,2019,227,"Steinchenwelt(BrickOwl, DE)","CFA10,430Avg: CFA12,288",15%
76895-1,Ferrari F8 Tributo,Speed Champions,2020,278,"Figs'n'bricks - NO FEES !!(BrickLink, DK)"," CFA11,230Avg: CFA13,227",15%
60247-1,Forest Fire,Town,2020,84,"Amazon US(Amazon, US)","CFA5,283 Avg: CFA6,222",15%
41356-1,Stephanie's Heart Box,Friends,2019,85,"Badeloch's Bricks(BrickOwl, NL)","CFA5,248Avg: CFA6,178",15%
42119-1,Monster Jam Max-D,Technic,2021,230,"Steinchenwelt(BrickOwl, DE)","CFA10,246 Avg: CFA12,062",15%
70820-1,Movie Maker,The LEGO Movie,2019,482,"Big Block Party(BrickLink, US)","CFA25,904Avg: CFA30,493",15%
10404-1,Ocean's Bottom,Classic,2018,579,"eBay US(eBay, US)","CFA15,105Avg: CFA17,781",15%
41449-1,Andrea's Family House,Friends,2021,806,"Steinchenwelt(BrickOwl, DE)","CFA37,337Avg: CFA43,946",15%
60215-1,Fire Station,Town,2019,510,"Steinchenwelt(BrickOwl, DE)","CFA30,745Avg: CFA36,181",15%
41591-1,Black Widow,Brickheadz,2017,143,"eBay US(eBay, US)","CFA9,708Avg: CFA11,424",15%
70429-1,El Fuego's Stunt Plane,Hidden Side,2020,303,"Steinchenwelt(BrickOwl, DE)","CFA15,841Avg: CFA18,639",15%
60208-1,Sky Police Parachute Arrest,Town,2019,218,"ScoutBricks(BrickLink, US)","CFA16,325Avg: CFA19,206",15%
76144-1,Avengers Hulk Helicopter Rescue,Super Heroes Marvel,2019,483,"Amazon US(Amazon, US)","CFA35,072Avg: CFA41,254",15%
75969-1,Hogwarts Astronomy Tower,Harry Potter,2020,971,"Amazon US(Amazon, US)","CFA53,939Avg: CFA63,438",15%
41591-1,Black Widow,Brickheadz,2017,143,"We-Like-It Bricks(BrickOwl, US)","CFA9,714Avg: CFA11,424",15%
75948-1,Hogwarts Clock Tower,Harry Potter,2019,926,"Amazon US(Amazon, US)","CFA46,950Avg: CFA55,210",15%
3451-1,Sopwith Camel,Creator,2001,577,"YellowBrickStore(BrickLink, US)","CFA134,915Avg: CFA158,638",15%
30313-1,Garbage Truck,Town,2015,48,"Badeloch's Bricks(BrickOwl, NL)","CFA2,722Avg: CFA3,201",15%
30574-1,Cat,Creator,2020,55,"bricktoys4boys(BrickOwl, US)","CFA2,698Avg: CFA3,171",15%
70607-1,NINJAGO City Chase,Ninjago,2017,233,"1brick4all(BrickOwl, IT)","CFA10,495Avg: CFA12,331",15%
11001-1,Bricks and Ideas,Classic,2019,123,"BRUNOS-BRICK-DEPOT(BrickLink, DE)","CFA5,512Avg: CFA6,474",15%
11001-1,Bricks and Ideas,Classic,2019,123,"Steinchenbrueder(BrickLink, DE)","CFA5,512Avg: CFA6,474",15%
30575-1,Train,Creator,2020,59,"Timby's Cellar(BrickOwl, BE)","CFA2,821Avg: CFA3,313",15%
75272-1,Sith TIE Fighter,Star Wars,2020,470,"Steinchenwelt (BrickOwl, DE)","CFA38,046Avg: CFA44,686",15%
70836-1,Battle-Ready Batman and MetalBeard,The LEGO Movie,2019,168,"Southern Brick Supply(BrickOwl, US)","CFA10,658Avg: CFA12,518",15%
5274-1,"8 Tires / Tyres (4x24, 4x 30 mm) w/hubs",Service Packs,1992,16,"Set Shop Boy(BrickOwl, DE)","CFA3,247Avg: CFA3,813",15%
10273-1,Haunted House,Creator,2020,3232,"Amazon US(Amazon, US)","CFA134,909Avg: CFA158,436",15%
21054-1,The White House,Architecture,2020,1483,"Steinchenwelt(BrickOwl, DE)","CFA49,971Avg: CFA58,681",15%
40281-1,Surfer Dragon,LEGO Brand Store,2018,43,"Brixalotl(BrickOwl, US)","CFA2,693Avg: CFA3,162",15%
40222-1,24-in-1 Holiday Countdown,Seasonal,2016,250,"eBay US(eBay, US)","CFA8,068Avg: CFA9,473",15%
71380-1,Master Your Adventure Maker Set,Super Mario,2021,366,"Amazon US(Amazon, US)","CFA32,353Avg: CFA37,967",15%
11013-1,Creative Transparent Bricks,Classic,2021,500,"Funny_bricks(BrickLink, HK)","CFA16,008Avg: CFA18,783",15%
42105-1,Catamaran,Technic,2020,404,"Steinchenwelt(BrickOwl, DE)","CFA21,115Avg: CFA24,765",15%
21170-1,The Pig House,Minecraft,2021,490,"Steinchenwelt(BrickOwl, DE)","CFA26,402Avg: CFA30,964",15%
30420-1,Harry Potter and Hedwig: Owl Delivery,Harry Potter,2020,31,"Bienvenue chez les bricks(BrickOwl, CA)","CFA3,430Avg: CFA4,021",15%
30241-1,Mandalorian Fighter,Star Wars,2013,49,"Find a brick you need(BrickLink, US)","CFA5,397Avg: CFA6,325",15%
40237-1,Easter Egg Hunt,Seasonal,2017,145,"Set Shop Boy(BrickOwl, DE)","CFA7,183Avg: CFA8,419",15%
70838-1,Queen Watevra's ‘So-Not-Evil' Space Palace,The LEGO Movie,2019,997,"briansbricks.com(BrickLink, US)","CFA51,262Avg: CFA60,083",15%
75274-1,TIE Fighter Pilot,Star Wars,2020,724,"Amazon US(Amazon, US)","CFA41,365Avg: CFA48,479",15%
41911-1,Go Team!,DOTS,2020,33,"Amazon US(Amazon, US)","CFA2,693Avg: CFA3,155",15%
76153-1,Avengers Helicarrier,Super Heroes Marvel,2020,1248,"Steinchenwelt(BrickOwl, DE)","CFA67,091Avg: CFA78,599",15%
10271-1,Fiat 500,Creator,2020,960,"a brick above the rest(BrickLink, NL)","CFA49,239Avg: CFA57,676",15%
10271-1,Fiat 500,Creator,2020,960,"Brick-Monster(BrickLink, NL)","CFA49,239Avg: CFA57,676",15%
71736-1,Boulder Blaster,Ninjago,2021,449,"eBay US(eBay, US)","CFA20,183Avg: CFA23,636",15%
75139-1,Battle on Takodana,Star Wars,2016,409,"eBay US(eBay, US)","CFA26,443Avg: CFA30,966",15%
60292-1,Town Center,Town,2021,791,"Amazon US(Amazon, US)","CFA53,960Avg: CFA63,190",15%
71748-1,Catamaran Sea Battle,Ninjago,2021,0,"Steinchenwelt(BrickOwl, DE)","CFA38,046Avg: CFA44,543",15%
70916-1,The Batwing,Super Heroes DC,2017,1053,"The Brick Guy 22(BrickOwl, US)","CFA50,749Avg: CFA59,411",15%
71738-1,Zane's Titan Mech Battle,Ninjago,2021,852,"Amazon US(Amazon, US)","CFA32,380Avg: CFA37,905",15%
5001623-1,Jor-El,Super Heroes DC,2013,5,"Bricks without Mortar(BrickOwl, US)","CFA6,471Avg: CFA7,573",15%
75892-1,McLaren Senna,Speed Champions,2019,222,"RUBRICK by majonas(BrickLink, DE)","CFA8,535Avg: CFA9,987",15%
4896-1,Roaring Roadsters,Creator,2006,931,"Derek's Den(BrickLink, UK)","CFA64,540Avg: CFA75,515",15%
76110-1,Batman: The Attack of the Talons,Super Heroes DC,2018,165,"eBay US(eBay, US)","CFA13,491Avg: CFA15,785",15%
41905-1,Rainbow Jewelry Stand,DOTS,2020,222,"eBay US(eBay, US)","CFA7,555Avg: CFA8,840",15%
7631-1,Dump Truck,Town,2009,189,"Brick-A-Lot(BrickOwl, GB)","CFA16,777Avg: CFA19,628",15%
10205-1,Locomotive,Train,2002,234,"Set Shop Boy(BrickOwl, DE)","CFA150,214Avg: CFA175,739",15%
41337-1,Underwater Loop,Friends,2019,389,"eBay US(eBay, US)","CFA15,056Avg: CFA17,612",15%
31200-1,The Sith,LEGO Art,2020,3404,"Funny_bricks(BrickLink, HK)","CFA62,640Avg: CFA73,270",15%
21044-1,Paris,Architecture,2019,649,"Amazon US(Amazon, US)","CFA26,978Avg: CFA31,554",15%
60155-1,City Advent Calendar 2017,Seasonal,2017,248,"eBay US(eBay, US)","CFA13,491Avg: CFA15,780",15%
70752-1,Jungle Trap,Ninjago,2015,58,"BizzBricks(BrickOwl, IT)","CFA9,511Avg: CFA11,120",14%
76003-1,Superman: Battle of Smallville,Super Heroes DC,2013,418,"Bizzy Blox(BrickOwl, US)","CFA26,983Avg: CFA31,536",14%
71382-1,Piranha Plant Puzzling Challenge Expansion Set,Super Mario,2021,267,"Steinchenwelt(BrickOwl, DE)","CFA15,369Avg: CFA17,959",14%
31090-1,Underwater Robot,Creator,2019,207,"We-Like-It Bricks(BrickOwl, US)","CFA10,685Avg: CFA12,485",14%
10270-1,Bookshop,Modular Buildings,2020,2504,"Funny_bricks(BrickLink, HK)","CFA93,960Avg: CFA109,751",14%
30446-1,The Batmobile,Super Heroes DC,2016,63,"shop-bricks(BrickOwl, DE)","CFA3,903Avg: CFA4,559",14%
60242-1,Police Highway Arrest,Town,2020,185,"eBay US(eBay, US)","CFA13,486Avg: CFA15,751",14%
10696-1,Medium Creative Brick Box,Classic,2015,484,"Steinchenwelt(BrickOwl, DE)","CFA15,369Avg: CFA17,941",14%
60286-1,Beach Rescue ATV,Town,2021,79,"Steinchenwelt(BrickOwl, DE)","CFA4,992Avg: CFA5,827",14%
75825-1,Piggy Pirate Ship,Angry Birds,2016,620,"eBay US(eBay, US)","CFA35,612Avg: CFA41,569",14%
30530-1,WU-CRU Target Training,Ninjago,2018,46,"3_BRICKS(BrickOwl, SI)","CFA3,630Avg: CFA4,237",14%
75969-1,Hogwarts Astronomy Tower,Harry Potter,2020,971,"Steinchenwelt(BrickOwl, DE)","CFA54,359Avg: CFA63,438",14%
60260-1,Air Race,Town,2020,140,"eBay US(eBay, US)","CFA16,190Avg: CFA18,892",14%
40237-1,Easter Egg Hunt,Seasonal,2017,145,"Badeloch's Bricks(BrickOwl, NL)","CFA7,216Avg: CFA8,419",14%
75810-1,The Upside Down,Stranger Things,2019,2287,"TechnicMK(BrickLink, PL)","CFA111,697Avg: CFA130,313",14%
75242-1,Black Ace TIE Interceptor,Star Wars,2019,396,"eBay US(eBay, US)","CFA26,978Avg: CFA31,466",14%
212113-1,Batman,Super Heroes DC,2021,19,"Havirov Bricks(BrickLink, CZ)","CFA2,789Avg: CFA3,252",14%
75967-1,Forbidden Forest: Umbridge’s Encounter,Harry Potter,2020,254,"Mattoncini Prato(BrickLink, IT)","CFA16,144Avg: CFA18,824",14%
30250-1,Ewar's Acro Fighter,Legends of Chima,2013,33,"We-Like-It Bricks(BrickOwl, US)","CFA2,914Avg: CFA3,397",14%
76143-1,Avengers Truck Take-down,Super Heroes Marvel,2020,486,"Amazon US(Amazon, US)","CFA17,264List: CFA21,581Avg: CFA25,148",14%
41432-1,Alpaca Rescue in the Jungle,Friends,2020,512,"Steinchenwelt(BrickOwl, DE)","CFA31,689Avg: CFA36,922",14%
41591-1,Black Widow,Brickheadz,2017,143,"shop-bricks(BrickOwl, DE)","CFA9,807Avg: CFA11,424",14%
7898-1,Cargo Train Deluxe,Town,2006,857,"Michaels Bricks(BrickLink, US)","CFA213,165Avg: CFA248,305",14%
7898-1,Cargo Train Deluxe,Town,2006,857,"Everything StarWars & More(BrickLink, US)","CFA213,165Avg: CFA248,305",14%
75528-1,Rey,Star Wars,2017,83,"Replay Toy Cavern(BrickOwl, GB)","CFA12,195Avg: CFA14,204",14%
271828-1,Lance,Nexo Knights,2018,12,"WayTooManyBricks(BrickOwl, GB)","CFA1,525Avg: CFA1,776",14%
3367-1,Space Shuttle,Town,2011,231,"Replay Toy Cavern(BrickOwl, GB)","CFA28,215Avg: CFA32,852",14%
41158-1,Jasmine's Petite Tower,Disney Princess,2019,49,"3 BRICKS sale -15%(BrickLink, SI)","CFA6,953Avg: CFA8,095",14%
71209-1,Wonder Woman Fun Pack,Dimensions,2015,41,"TimsBrickHouse(BrickOwl, US)","CFA7,706Avg: CFA8,971",14%
71380-1,Master Your Adventure Maker Set,Super Mario,2021,366,"Steinchenwelt(BrickOwl, DE)","CFA32,614Avg: CFA37,967",14%
10917-1,Fire Truck,Duplo,2020,6,"3_BRICKS(BrickOwl, SI)","CFA4,366Avg: CFA5,083",14%
21318-1,Tree House,LEGO Ideas and CUUSOO,2019,3037,"Little Big Store(BrickLink, CZ)","CFA116,624Avg: CFA135,752",14%
75972-1,Dorado Showdown,Overwatch,2019,419,"eBay US(eBay, US)","CFA17,733Avg: CFA20,641",14%
75967-1,Forbidden Forest: Umbridge’s Encounter,Harry Potter,2020,254,"Pitdroid's Brick Empire(BrickLink, US)","CFA16,174Avg: CFA18,824",14%
11014-1,Bricks and Wheels,Classic,2021,0,"Steinchenwelt(BrickOwl, DE)","CFA24,454Avg: CFA28,457",14%
21319-1,Central Perk,LEGO Ideas and CUUSOO,2019,1070,"Bricks Space(BrickOwl, IT)","CFA49,197Avg: CFA57,242",14%
21169-1,The First Adventure,Minecraft,2021,0,"Steinchenwelt(BrickOwl, DE)","CFA32,614Avg: CFA37,946",14%
11013-1,Creative Transparent Bricks,Classic,2021,500,"Mattoncini Prato(BrickLink, IT)","CFA16,144Avg: CFA18,783",14%
75302-1,Imperial Shuttle,Star Wars,2021,0,"Steinchenwelt(BrickOwl, DE)","CFA43,490Avg: CFA50,597",14%
21325-1,Medieval Blacksmith,LEGO Ideas and CUUSOO,2021,2164,"Starving Student Bricker(BrickLink, US)","CFA97,133Avg: CFA113,003",14%
31086-1,Futuristic Flyer,Creator,2019,157,"Amazon US(Amazon, US)","CFA8,089Avg: CFA9,411",14%
31086-1,Futuristic Flyer,Creator,2019,157,"eBay US(eBay, US)","CFA8,089Avg: CFA9,411",14%
75967-1,Forbidden Forest: Umbridge’s Encounter,Harry Potter,2020,254,"Amazon US(Amazon, US)","CFA12,952List: CFA16,184Avg: CFA18,824",14%
75967-1,Forbidden Forest: Umbridge’s Encounter,Harry Potter,2020,254,"Everything StarWars & More(BrickLink, US)","CFA16,184Avg: CFA18,824",14%
71383-1,Wiggler’s Poison Swamp Expansion Set,Super Mario,2021,374,"Steinchenwelt(BrickOwl, DE)","CFA21,115Avg: CFA24,558",14%
43187-1,Rapunzel's Tower,Disney Princess,2020,369,"Amazon US(Amazon, US)","CFA31,387Avg: CFA36,500",14%
40194-1,Finish Line & Podium,Promotional,2014,65,"Set Shop Boy(BrickOwl, DE)","CFA3,903Avg: CFA4,537",14%
71028-1,Harry Potter,Collectible Minifigures,2020,9,"Brick Paper Scissors(BrickOwl, CA)","CFA2,487Avg: CFA2,891",14%
71738-1,Zane's Titan Mech Battle,Ninjago,2021,852,"Steinchenwelt(BrickOwl, DE)","CFA32,614Avg: CFA37,905",14%
21051-1,Tokyo,Architecture,2020,547,"Amazon US(Amazon, US)","CFA32,374Avg: CFA37,621",14%
211903-1,Superman and Kryptonite,Super Heroes DC,2019,10,"Stellar Bricks(BrickOwl, ES)","CFA2,611Avg: CFA3,034",14%
41599-1,Wonder Woman,Brickheadz,2018,143,"Shinoby(BrickOwl, BE)","CFA9,183Avg: CFA10,670",14%
10900-1,Police Bike,Duplo,2019,8,"Amazon US(Amazon, US)","CFA5,391Avg: CFA6,263",14%
40351-1,Ghost,Brickheadz,2019,134,"PikkaBrikka(BrickOwl, CZ)","CFA13,186Avg: CFA15,316",14%
10700-1,Green Baseplate,Classic,2015,1,"Badeloch's Bricks(BrickOwl, NL)","CFA3,903Avg: CFA4,533",14%
30281-1,Micro Manager Battle,The LEGO Movie,2014,27,"Pleasure Bricks(BrickOwl, GB)","CFA2,669Avg: CFA3,099",14%
42038-1,Arctic Truck,Technic,2015,913,"Marlenes Spiel und Steine(BrickLink, DE)","CFA60,682Avg: CFA70,435",14%
31197-1,Andy Warhol's Marilyn Monroe,LEGO Art,2020,3341,"Amazon US(Amazon, US)","CFA63,388Avg: CFA73,576",14%
11013-1,Creative Transparent Bricks,Classic,2021,500,"Amazon US(Amazon, US)","CFA16,184Avg: CFA18,783",14%
71731-1,Epic Battle Set - Zane vs. Nindroid,Ninjago,2021,66,"Steinchenwelt(BrickOwl, DE)","CFA5,044Avg: CFA5,854",14%
10273-1,Haunted House,Creator,2020,3232,"TechnicMK(BrickLink, PL)","CFA136,519Avg: CFA158,436",14%
6869-1,Quinjet Aerial Battle,Super Heroes Marvel,2012,750,"We-Like-It Bricks(BrickOwl, US)","CFA53,426Avg: CFA61,996",14%
75967-1,Forbidden Forest: Umbridge’s Encounter,Harry Potter,2020,254,"BrickGo(BrickLink, CZ)","CFA16,226Avg: CFA18,824",14%
30116-1,Rapunzel's Market Visit,Disney Princess,2014,37,"United Parts(BrickOwl, GB)","CFA3,007Avg: CFA3,488",14%
30340-1,Emmet's 'Piece' Offering,The LEGO Movie,2019,44,"bricktoys4boys(BrickOwl, US)","CFA2,698Avg: CFA3,130",14%
71732-1,Epic Battle Set - Jay vs. Serpentine,Ninjago,2021,78,"Steinchenwelt(BrickOwl, DE)","CFA5,044Avg: CFA5,850",14%
21042-1,Statue of Liberty,Architecture,2018,1685,"Lucky-Bricks(BrickLink, DE)","CFA52,489Avg: CFA60,873",14%
40416-1,Ice Skating Rink,Seasonal,2020,304,"A BRICK TOO FAR...(BrickOwl, US)","CFA16,184Avg: CFA18,768",14%
5006290-1,Yoda's Lightsaber,Star Wars,2020,140,"eBay US(eBay, US)","CFA51,268Avg: CFA59,448",14%
40416-1,Ice Skating Rink,Seasonal,2020,304,"Brick Door(BrickOwl, US)","CFA16,190Avg: CFA18,768",14%
75139-1,Battle on Takodana,Star Wars,2016,409,"We-Like-It Bricks(BrickOwl, US)","CFA26,713Avg: CFA30,966",14%
40417-1,Year of the Ox,Seasonal,2021,168,"A brick per day e.U.(BrickOwl, AT)","CFA6,422Avg: CFA7,445",14%
71730-1,Epic Battle Set - Kai vs. Skulkin,Ninjago,2021,70," Steinchenwelt(BrickOwl, DE)","CFA5,044Avg: CFA5,845",14%
70822-1,Unikitty's Sweetest Friends EVER!,The LEGO Movie,2019,76,"Replay Toy Cavern(BrickOwl, GB)","CFA5,484Avg: CFA6,355",14%
71733-1,Epic Battle Set - Cole vs. Ghost Warrior,Ninjago,2021,60,"Steinchenwelt(BrickOwl, DE)","CFA5,044Avg: CFA5,845",14%
70902-1,Catwoman Catcycle Chase,Super Heroes DC,2017,139,"We-Like-It Bricks(BrickOwl, US)","CFA12,142Avg: CFA14,069",14%
911832-1,Imperial Shuttle Pilot,Star Wars,2018,5,"A HandFul of Bricks(BrickOwl, PL)","CFA2,183Avg: CFA2,529",14%
40344-1,Summer Celebration Minifigure Set,Collectible Minifigures,2019,45,"steinwerk24_com(BrickOwl, DE)","CFA9,177Avg: CFA10,631",14%
70686-1,Spinjitzu Burst Kai,Ninjago,2020,48,"Steinchenwelt(BrickOwl, DE)","CFA5,202Avg: CFA6,026",14%
70685-1,Spinjitzu Burst Cole,Ninjago,2020,48,"Steinchenwelt(BrickOwl, DE)","CFA5,202Avg: CFA6,025",14%
40412-1,Hagrid & Buckbeak,Brickheadz,2020,270,"3 BRICKS sale -15%(BrickLink, SI)","CFA24,714Avg: CFA28,625",14%
30203-1,Mini Golf,Friends,2015,26,"Brick Takeover(BrickOwl, DE)","CFA2,575Avg: CFA2,982",14%
70420-1,Graveyard Mystery,Hidden Side,2019,335,"Steinchenwelt(BrickOwl, DE)","CFA15,841Avg: CFA18,345",14%
5004590-1,Bat Pod,Super Heroes DC,2015,338,"seesteine(BrickLink, DE)","CFA551,078Avg: CFA638,155",14%
42103-1,Dragster,Technic,2020,225,"Steinchenwelt(BrickOwl, DE)","CFA10,246Avg: CFA11,861",14%
76086-1,Knightcrawler Tunnel Attack,Super Heroes DC,2017,623,"3_BRICKS(BrickOwl, SI)","CFA29,439Avg: CFA34,077",14%
10274-1,ECTO-1,Ghostbusters,2020,2352,"Jammo(BrickLink, SK)","CFA114,892Avg: CFA132,990",14%
40417-1,Year of the Ox,Seasonal,2021,168,"Bienvenue chez les bricks(BrickOwl, CA)","CFA6,432Avg: CFA7,445",14%
31090-1,Underwater Robot,Creator,2019,207,"Amazon US(Amazon, US)"," CFA8,629List: CFA10,788Avg: CFA12,485",14%
77906-1,Wonder Woman,Super Heroes DC,2020,255,"Amazon UK(Amazon, GB)","CFA52,122Avg: CFA60,313",14%
30453-1,Captain Marvel and Nick Fury,Super Heroes Marvel,2020,32,"bricktoys4boys(BrickOwl, US)","CFA4,317Avg: CFA4,995",14%
30280-1,The Piece of Resistance,The LEGO Movie,2014,33,"Brixalotl(BrickOwl, US)","CFA5,337Avg: CFA6,175",14%
60263-1,Ocean Mini Submarine,Town,2020,41,"Amazon US(Amazon, US)","CFA5,386Avg: CFA6,231",14%
271723-1,Hovercraft,Nexo Knights,2017,35,"WayTooManyBricks(BrickOwl, GB)","CFA1,205Avg: CFA1,394",14%
75967-1,Forbidden Forest: Umbridge’s Encounter,Harry Potter,2020,254,"NickThaBrick(BrickLink, BE)","CFA16,272Avg: CFA18,824",14%
112007-1,Wu vs. Skulkin,Ninjago,2020,13,"Stellar Bricks(BrickOwl, ES)","CFA2,945Avg: CFA3,406",14%
42115-1,Lamborghini Sián FKP 37,Technic,2020,3696,"SNR Bricks(BrickLink, NL)","CFA183,171Avg: CFA211,723",13%
76164-1,Iron Man Hulkbuster versus A.I.M. Agent,Super Heroes Marvel,2020,456,"Amazon US(Amazon, US)","CFA17,264List: CFA21,581Avg: CFA24,944",13%
71719-1,Zane's Mino Creature,Ninjago,2020,617,"Steinchenwelt(BrickOwl, DE)","CFA26,402Avg: CFA30,516",13%
3502-1,Bi-Wing,Znap,1998,24,"Badeloch's Bricks(BrickOwl, NL)","CFA6,560Avg: CFA7,581",13%
111903-1,Kai vs. Wyplash,Ninjago,2019,13,"Brick Takeover(BrickOwl, DE)","CFA2,661Avg: CFA3,074",13%
60305-1,Car Transporter,Town,2021,342,"Amazon US(Amazon, US)","CFA16,184Avg: CFA18,698",13%
40308-1,Lester,LEGO Brand Store,2017,5,"Stellar Bricks(BrickOwl, ES)","CFA6,546Avg: CFA7,562",13%
76383-1,Hogwarts Moment: Potions Class,Harry Potter,2021,271,"eBay US(eBay, US)","CFA17,242Avg: CFA19,911",13%
71721-1,Skull Sorcerer's Dragon,Ninjago,2020,1016,"Amazon US(Amazon, US)","CFA43,146Avg: CFA49,813",13%
121802-1,Owen and Lookout Tower,Jurassic World,2018,39,"Brick Takeover(BrickOwl, DE)","CFA2,329Avg: CFA2,689",13%
11013-1,Creative Transparent Bricks,Classic,2021,500,"BRICKSHOP Holland ✔(BrickLink, NL)","CFA16,272Avg: CFA18,783",13%
70428-1,Jack's Beach Buggy,Hidden Side,2020,170,"Steinchenwelt(BrickOwl, DE)","CFA10,567Avg: CFA12,198",13%
6211-1,Imperial Star Destroyer,Star Wars,2006,1389,"sigbrick(BrickLink, DK)","CFA211,879Avg: CFA244,537",13%
42118-1,Monster Jam Grave Digger,Technic,2021,212,"RUBRICK by majonas(BrickLink, DE)","CFA10,504Avg: CFA12,122",13%
10903-1,Fire Station,Duplo,2019,76,"Steinchenwelt(BrickOwl, DE)","CFA26,402Avg: CFA30,466",13%
41041-1,Turtle's Little Paradise,Friends,2014,43,"Badeloch's Bricks(BrickOwl, NL)","CFA3,280Avg: CFA3,784",13%
6873-1,Spider-Man's Doc Ock Ambush,Super Heroes Marvel,2012,296,"We-Like-It Bricks(BrickOwl, US)","CFA36,427Avg: CFA42,019",13%
60106-1,Fire Starter Set,Town,2016,90,"1brick4all(BrickOwl, IT)","CFA6,560Avg: CFA7,566",13%
70820-1,Movie Maker,The LEGO Movie,2019,482,"Brick Planet(BrickLink, US)","CFA26,443Avg: CFA30,493",13%
71367-1,Mario's House & Yoshi Expansion Set,Super Mario,2020,205,"Steinchenwelt(BrickOwl, DE)","CFA15,369Avg: CFA17,723",13%
10274-1,ECTO-1,Ghostbusters,2020,2352,"3 BRICKS sale -15%(BrickLink, SI)","CFA115,360Avg: CFA132,990",13%
40349-1,Puppy,Brickheadz,2019,147,"Venusia Bricks(BrickOwl, BE)","CFA9,833Avg: CFA11,334",13%
30341-1,Monkie Kid's Delivery Bike,Monkie Kid,2020,22,"PikkaBrikka(BrickOwl, CZ)","CFA6,568Avg: CFA7,570",13%
31103-1,Rocket Truck,Creator,2020,198,"Steinchenwelt(BrickOwl, DE)","CFA12,621Avg: CFA14,547",13%
71717-1,Journey to the Skull Dungeons,Ninjago,2020,401,"eBay US(eBay, US)","CFA14,571Avg: CFA16,793",13%
40178-1,Iconic VIP Set,LEGO Brand Store,2017,205,"steinwerk24_com(BrickOwl, DE)","CFA11,473Avg: CFA13,221",13%
10269-1,Harley-Davidson Fat Boy,Creator,2019,1023,"Amazon US(Amazon, US)","CFA53,939Avg: CFA62,151",13%
75810-1,The Upside Down,Stranger Things,2019,2287,"Le Gold(BrickLink, DE)","CFA113,099Avg: CFA130,313",13%
10927-1,Pizza Stand,Duplo,2020,18,"Amazon US(Amazon, US)","CFA5,391Avg: CFA6,212",13%
40309-1,Food Accessories,Xtra,2018,30,"ubertoys.eu(BrickOwl, BE)","CFA3,191Avg: CFA3,676",13%
40349-1,Puppy,Brickheadz,2019,147,"Badeloch's Bricks(BrickOwl, NL)","CFA9,839Avg: CFA11,334",13%
41907-1,Desk Organizer,DOTS,2020,407,"eBay US(eBay, US)","CFA9,590Avg: CFA11,046",13%
40172-1,Brick Calendar,Gear,2017,278,"eBay US(eBay, US)","CFA13,464Avg: CFA15,505",13%
71707-1,Kai's Mech Jet,Ninjago,2020,226,"Steinchenwelt(BrickOwl, DE)","CFA10,403Avg: CFA11,979",13%
30410-1,Mia's Water Fun,Friends,2019,28,"Timby's Cellar(BrickOwl, BE)","CFA2,296Avg: CFA2,643",13%
40354-1,Dragon Dance Guy,Brickheadz,2019,170,"Venusia Bricks(BrickOwl, BE)","CFA9,833Avg: CFA11,318",13%
561804-1,Bunnies' Playground,Friends,2018,33,"United Parts(BrickOwl, GB)"," CFA1,775Avg: CFA2,043",13%
75953-1,Hogwarts Whomping Willow,Harry Potter,2018,754,"Steinchenwelt(BrickOwl, DE)","CFA38,046Avg: CFA43,765",13%
40352-1,Scarecrow,Brickheadz,2019,177,"Brick Takeover(BrickOwl, DE)","CFA9,655Avg: CFA11,106",13%
7898-1,Cargo Train Deluxe,Town,2006,857,"DanR's Brick Fundraiser(BrickLink, US)","CFA215,863Avg: CFA248,305",13%
70655-1,Dragon Pit,Ninjago,2018,1669,"eBay IT(eBay, IT)","CFA72,155Avg: CFA82,979",13%
60291-1,Family House,Town,2021,388,"BRUNOS-BRICK-DEPOT(BrickLink, DE)","CFA27,580Avg: CFA31,714",13%
60291-1,Family House,Town,2021,388,"Steinchenbrueder(BrickLink, DE)","CFA27,580Avg: CFA31,714",13%
60291-1,Family House,Town,2021,388,"MT-Bricks(BrickLink, DE)","CFA27,580Avg: CFA31,714",13%
